,userid,learning_seq,mcode,learning_action_seq,event_type,action,object_type,timestamp,gender,grade,memberstatus,memberstatus_change,day_01_status,day_02_status,day_03_status,day_04_status,day_05_status,day_06_status,day_07_status,day_08_status,day_09_status,day_10_status,day_11_status,day_12_status,day_13_status,day_14_status,day_15_status,day_16_status,day_17_status,day_18_status,day_19_status,day_20_status,day_21_status,day_22_status,day_23_status,day_24_status,day_25_status,day_26_status,day_27_status,day_28_status,day_29_status,day_30_status,day_31_status,change_date
6338,01cf7916-eb98-4d30-8c81-dd52aa5be060,1,T0TE52U01003,1,ViewEvent,Viewed,DigitalResource,2022-09-14 23:28:53.150,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6339,01cf7916-eb98-4d30-8c81-dd52aa5be060,1,T0TE52U01003,2,NavigationEvent,NavigatedTo,DigitalResource,2022-09-14 23:30:09.481,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6340,01cf7916-eb98-4d30-8c81-dd52aa5be060,1,T0TE52U01003,3,ViewEvent,Viewed,DigitalResource,2022-09-14 23:30:09.604,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6341,01cf7916-eb98-4d30-8c81-dd52aa5be060,1,T0TE52U01003,4,NavigationEvent,NavigatedTo,DigitalResource,2022-09-14 23:30:43.752,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6342,01cf7916-eb98-4d30-8c81-dd52aa5be060,1,T0TE52U01003,5,ViewEvent,Viewed,DigitalResource,2022-09-14 23:30:43.883,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6343,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,1,ViewEvent,Viewed,DigitalResource,2022-09-14 23:34:54.404,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6344,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,2,NavigationEvent,NavigatedTo,DigitalResource,2022-09-14 23:35:09.916,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6345,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,3,ViewEvent,Viewed,DigitalResource,2022-09-14 23:35:10.085,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6346,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,4,NavigationEvent,NavigatedTo,DigitalResource,2022-09-14 23:35:22.575,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6347,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,5,MediaEvent,Started,VideoObject,2022-09-14 23:35:23.368,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6348,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,6,MediaEvent,JumpedTo,VideoObject,2022-09-14 23:35:23.368,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6349,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,7,MediaEvent,Ended,VideoObject,2022-09-14 23:35:23.368,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6352,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,10,MediaEvent,Ended,VideoObject,2022-09-14 23:35:40.189,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6350,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,8,MediaEvent,JumpedTo,VideoObject,2022-09-14 23:35:40.189,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6351,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,9,MediaEvent,Started,VideoObject,2022-09-14 23:35:40.189,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6353,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,11,ViewEvent,Viewed,DigitalResource,2022-09-14 23:35:45.975,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6354,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,12,NavigationEvent,NavigatedTo,DigitalResource,2022-09-14 23:36:40.134,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
6355,01cf7916-eb98-4d30-8c81-dd52aa5be060,2,T0ME52U21009,13,ViewEvent,Viewed,DigitalResource,2022-09-14 23:36:40.322,M,5,44,"11,44",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,44,44,44,44,44,44,999,25
